key	scope	area	screen	ru	en	status	note
states.savedSub	mvp	states		Теперь ошибка официально принадлежит истории.	The mistake now officially belongs to history.	ok	
states.noTrade	mvp	states		ВНЕ РЫНКА	FLAT	ok	
states.noTradeSub	mvp	states		Сделка не открыта. Паника тоже.	No position opened. No panic either.	ok	
academy.title	mvp	academy		АКАДЕМИЯ	ACADEMY	ok	
academy.chapters	mvp	academy		ГЛАВЫ	CHAPTERS	ok	
academy.sub	mvp	academy		Теория объясняет принцип. Практика проверяет, применил ли ты его в шуме.	Theory explains the principle. Practice checks whether you applied it in noise.	ok	
bestiary.title	mvp	bestiary		УГРОЗЫ	THREATS	ok	
bestiary.sub	mvp	bestiary		Сущность — не враг, которого убивают. Это давление, которое не пускают в решение.	An entity is not an enemy to kill. It is pressure to keep out of the decision.	ok	
journal.title	mvp	journal		ЖУРНАЛ РЕШЕНИЙ	DECISION JOURNAL	ok	
journal.sub	mvp	journal		Не свиток ошибок, а история: паттерны, сильные навыки, слабые зоны.	Not a scroll of errors, but history: patterns, strong skills, weak spots.	ok	
tournament.title	mvp	tournament		ТУРНИРЫ	TOURNAMENTS	ok	
tournament.sub	mvp	tournament		Один набор данных на всех. Победа — по качеству, скорость — только tie-break.	One dataset for everyone. Win by quality; speed is tie-break only.	ok	
market.title	mvp	market		МАРКЕТ	MARKET	ok	REVIEW: прототип 3.1/9.1 — «МАГАЗИН»
market.sub	mvp	market		Косметика и контент. Ответы, оценки и риск-лимиты не продаются.	Cosmetics and content. Answers, scores and risk limits are not for sale.	ok	
profile.title	mvp	profile		ПРОФИЛЬ	PROFILE	ok	
more.title	mvp	more		ЕЩЁ	MORE	ok	
settings.title	mvp	settings		НАСТРОЙКИ	SETTINGS	ok	
settings.sound	mvp	settings		ЗВУК	SOUND	ok	
settings.reduceMotion	mvp	settings		МЕНЬШЕ ДВИЖЕНИЯ	REDUCE MOTION	ok	REVIEW: прототип 12.2 — «Сниженная анимация»
settings.language	mvp	settings		ЯЗЫК	LANGUAGE	ok	REVIEW: прототип 12.2 — «Язык интерфейса»
home.title	mvp	home		ГЛАВНАЯ	HOME	ok	
home.continue	mvp	home		ПРОДОЛЖИТЬ ОХОТУ	CONTINUE THE HUNT	ok	REVIEW: прототип 3.1 — «ПРОДОЛЖИТЬ»
home.daily	mvp	home		СЕГОДНЯ В АРХИВЕ	TODAY IN THE ARCHIVE	ok	REVIEW: прототип 3.1 — «ЕЖЕДНЕВНОЕ»
common.back	mvp	common		НАЗАД	BACK	ok	REVIEW: прототип 4.2 — «Назад» строчными
common.close	mvp	common		ЗАКРЫТЬ	CLOSE	ok	
common.retry	mvp	common		ПОВТОРИТЬ	RETRY	ok	
home.greet	mvp	home		Архив катастроф открыт. Выбирай, где сегодня ошибаться со вкусом.	The disaster archive is open. Pick where to be wrong with style today.	ok	
home.resume	mvp	home		ПРОДОЛЖИТЬ СЦЕНАРИЙ	RESUME SCENARIO	ok	
home.start	mvp	home		НАЧАТЬ ОХОТУ	START THE HUNT	ok	
home.scenarios	mvp	home		СЦЕНАРИИ	SCENARIOS	ok	
home.sections	mvp	home		РАЗДЕЛЫ	SECTIONS	ok	
home.best	mvp	home		ЛУЧШЕЕ	BEST	ok	
academy.topic	mvp	academy		ТЕМА	TOPIC	ok	
academy.train	mvp	academy		ТРЕНИРОВАТЬ В АРЕНЕ	TRAIN IN THE ARENA	ok	
academy.linked	mvp	academy		СВЯЗАННЫЕ НАВЫКИ	LINKED SKILLS	ok	
academy.ch.risk.title	mvp	academy		Риск: размер имеет значение		ok	
academy.ch.risk.body	mvp	academy		Риск определяется до входа: доля депозита, стоп, условие отмены. Рынок платит тем, кто переживает ошибки, а не тем, кто их избегает.		ok	
academy.ch.structure.title	mvp	academy		Структура: читай следы, а не свечи		ok	
academy.ch.structure.body	mvp	academy		Уровень, пробой, ретест, объём. Отдельная свеча врёт; структура из трёх событий врёт реже. Подтверждение обязательно.		ok	
academy.ch.tf.title	mvp	academy		Таймфреймы: старшие решают		ok	
academy.ch.tf.body	mvp	academy		Младший таймфрейм показывает шум красиво. Направление и уровни бери со старшего, точку входа — с младшего.		ok	
academy.ch.noise.title	mvp	academy		Шум: карантин для новостей		ok	
academy.ch.noise.body	mvp	academy		Заголовок — это эмоция с дедлайном. Новость уходит в карантин на сессию; решение — только по структуре и объёму.		ok	
academy.ch.discipline.title	mvp	academy		Дисциплина: система больше сделки		ok	
academy.ch.discipline.body	mvp	academy		Зелёная сделка мимо плана — красный флаг. Пауза после убытка, журнал, запрет на revenge: скучно, прибыльно, обязательно.		ok	
academy.ch.plan.title	mvp	academy		План: отмена пишется заранее		ok	
academy.ch.plan.body	mvp	academy		У каждой идеи есть условие «я неправ»: цена, время, событие. Нет условия отмены — нет идеи, есть надежда.		ok	
bestiary.tell	mvp	bestiary		ПРИЗНАК	TELL	ok	
bestiary.counter	mvp	bestiary		КОНТР-ПРИЁМ	COUNTER	ok	
bestiary.train	mvp	bestiary		ОХОТИТЬСЯ В АРЕНЕ	HUNT IN THE ARENA	ok	REVIEW: прототип 6.2 — «Тренироваться против этой угрозы»
bestiary.mastered	mvp	bestiary		ОСВОЕНА	MASTERED	ok	
bestiary.seen	mvp	bestiary		ЗАМЕЧЕНА	SPOTTED	ok	
journal.patterns	mvp	journal		ПОВТОРЯЮЩИЕСЯ ПАТТЕРНЫ	REPEATING PATTERNS	ok	
journal.history	mvp	journal		ИСТОРИЯ РЕШЕНИЙ	DECISION HISTORY	ok	
journal.repeat	mvp	journal		РЕКОМЕНДАЦИИ ПО ПОВТОРУ	REPLAY RECOMMENDATIONS	ok	
journal.best	mvp	journal		ЛУЧШЕЕ КАЧЕСТВО	BEST QUALITY	ok	
journal.fix	mvp	journal		ИСПРАВЛЕНИЕ	FIX	ok	
journal.empty	mvp	journal		Пока пусто: пройди первый сценарий, и журнал начнёт коллекционировать твои паттерны.	Empty so far: clear your first scenario and the journal will collect your patterns.	ok	
tourn.join	mvp	tourn		ВОЙТИ	ENTER	ok	
tourn.joined	mvp	tourn		ТЫ ВНУТРИ	YOU ARE IN	ok	INFO: бейдж «ВЫ В ИГРЕ» (9.1) — отдельный ключ tourn.inGame
tourn.board	mvp	tourn		ЛИДЕРБОРД	LEADERBOARD	ok	
tourn.you	mvp	tourn		ТЫ	YOU	ok	
tourn.note	mvp	tourn		Асинхронно: один набор данных на всех, победа по качеству. Скорость — только tie-break.	Async: one dataset for everyone, win by quality. Speed is tie-break only.	ok	
tourn.rookie.title	mvp	tourn		ПЕСОЧНИЦА: ПЕРВАЯ КРОВЬ		ok	
tourn.rookie.body	mvp	tourn		Два архивных сценария. Идеально для калибровки прицела.		ok	
tourn.risk.title	mvp	tourn		КУБОК ХОЛОДНОЙ ГОЛОВЫ		ok	
tourn.risk.body	mvp	tourn		Протокол «Сначала риск». Гоблины плеча не допускаются.		ok	
market.buy	mvp	market		КУПИТЬ	BUY	ok	
market.owned	mvp	market		КУПЛЕНО	OWNED	ok	
market.balance	mvp	market		БАЛАНС	BALANCE	ok	
market.noFunds	mvp	market		Не хватает кредитов. Арена платит за качество, а не за надежду.	Not enough credits. The arena pays for quality, not for hope.	ok	REVIEW: прототип 10.1 — «Недостаточно монет»
market.bought	mvp	market		Куплено. Косметика не влияет на качество решений — только на стиль поражения.	Bought. Cosmetics never affect decision quality — only the style of defeat.	ok	
market.i.theme-neon.title	mvp	market		Тема «Неоновая свалка»		ok	
market.i.theme-neon.body	mvp	market		Косметическая тема интерфейса. Кислоты станет больше, ошибок — нет.		ok	
market.i.avatar-golem.title	mvp	market		Аватар «Голем-якорь»		ok	
market.i.avatar-golem.body	mvp	market		Тяжёлый силуэт для профиля. К старой цене больше не приковывает.		ok	
market.i.season1.title	mvp	market		Сезонный набор «Паника-99»		ok	
market.i.season1.body	mvp	market		Рамки и фоны сезона. Паника коллекционная, убытки — нет.		ok	
profile.stats	mvp	profile		СТАТИСТИКА	STATS	ok	
profile.ach	mvp	profile		ДОСТИЖЕНИЯ	ACHIEVEMENTS	ok	
profile.completed	mvp	profile		СЦЕНАРИЕВ ЗАКРЫТО	SCENARIOS CLOSED	ok	
ach.first.title	mvp	ach		Первая кровь		ok	
ach.first.body	mvp	ach		Закрой первый сценарий — с любым качеством.		ok	
ach.clean70.title	mvp	ach		Холодная голова		ok	
ach.clean70.body	mvp	ach		Качество 70+ в любом сценарии.		ok	
ach.hunter.title	mvp	ach		Охотник		ok	
ach.hunter.body	mvp	ach		Закрой оба архивных сценария.		ok	
ach.scholar.title	mvp	ach		Архивариус		ok	
ach.scholar.body	mvp	ach		Открой три темы Академии.		ok	
more.sections	mvp	more		ВСЕ РАЗДЕЛЫ	ALL SECTIONS	ok	REVIEW: прототип 12.1 — «РАЗДЕЛЫ»
more.about	mvp	more		О ТРЕНАЖЁРЕ	ABOUT THE TRAINER	ok	
more.aboutBody	mvp	more		SIGNAL ARENA — тренажёр качества решений на исторических ситуациях. Не биржа, не сигналы, не обещание дохода.	SIGNAL ARENA is a decision-quality trainer on historical situations. Not an exchange, not signals, not an income promise.	ok	
more.legal	mvp	more		ПРАВОЕ И ДИСКЛЕЙМЕРЫ	LEGAL & DISCLAIMERS	ok	REVIEW: прототип 12.1/12.3 — «Правовая информация» / «ПРАВОВОЕ»
more.legalBody	mvp	more		Обучающий тренажёр на исторических данных, а не инвестиционная рекомендация. Внутриигровые ресурсы не выводятся.	An educational trainer on historical data, not investment advice. In-game resources cannot be withdrawn.	ok	
scen.mvp-001.context	mvp	scen		Актив три дня рос на новостях. Толпа празднует пробой. Объём на пробое — мертворождённый.		ok	REVIEW: прототип 4.x — другая формулировка
scen.mvp-001.goal	mvp	scen		Реши до раскрытия архива: здесь есть сигнал — или только шум с фанфарами?		ok	REVIEW: прототип 4.x — другая формулировка
scen.mvp-001.fact	mvp	scen		Пробой не удержался: цена вернулась под уровень за 6 часов, объём покупок иссяк.		ok	REVIEW: прототип 4.x — другая формулировка
scen.mvp-001.source	mvp	scen		Архив · спот · 15m · датасет v0.1.0		ok	
scen.mvp-001.d0	mvp	scen		Войти на пробое		ok	
scen.mvp-001.d0r	mvp	scen		Вход в шум без подтверждения: пробой без объёма — классическая жертва толпе.		ok	
scen.mvp-001.d1	mvp	scen		Ждать ретест		ok	REVIEW: прототип 4.x — другая формулировка
scen.mvp-001.d1r	mvp	scen		Терпеливое решение: подтверждение ретестом отделяет сигнал от фанфар.		ok	
scen.mvp-001.d2	mvp	scen		Сократить риск		ok	
scen.mvp-001.d2r	mvp	scen		Осторожно, но без позиции сокращать нечего: действие мимо контекста.		ok	
scen.mvp-001.d3	mvp	scen		Остаться вне рынка		ok	
scen.mvp-001.d3r	mvp	scen		Вне рынка — тоже решение: нет подтверждения — нет сделки.		ok	
scen.mvp-001.tab.chart	mvp	scen		Структура: три дня роста, пробой уровня. Объём на пробое ниже среднего.		ok	REVIEW: прототип 4.x — другая формулировка
scen.mvp-001.tab.volume	mvp	scen		Объём покупок затухает три сессии подряд. Пробой случился на самом тонком баре.		ok	REVIEW: прототип 4.x — другая формулировка
scen.mvp-001.tab.news	mvp	scen		Заголовки трубят о «новой эре». Новость — не сигнал, а well-timed шум.		ok	REVIEW: прототип 4.x — другая формулировка
scen.mvp-001.tab.social	mvp	scen		Соцфон: эйфория. Индекс веры в график зашкаливает — толпа уже внутри.		ok	REVIEW: прототип 4.x — другая формулировка
scen.mvp-001.step2q	mvp	scen		Какой риск допустим, если входишь?		ok	REVIEW: прототип 4.x — другая формулировка
scen.mvp-001.s0	mvp	scen		0.5% — пережить ошибку		ok	REVIEW: прототип 4.x — другая формулировка
scen.mvp-001.s0r	mvp	scen		Риск, с которым можно жить, даже если рынок идёт не туда.		ok	
scen.mvp-001.s1	mvp	scen		2% — стандартная ставка		ok	REVIEW: прототип 4.x — другая формулировка
scen.mvp-001.s1r	mvp	scen		Терпимо, но для неподтверждённого пробоя — щедрость за счёт депозита.		ok	
scen.mvp-001.s2	mvp	scen		10% — пан или пропал		ok	REVIEW: прототип 4.x — другая формулировка
scen.mvp-001.s2r	mvp	scen		Это не риск-менеджмент, а жертвоприношение с красивым названием.		ok	
scen.mvp-002.context	mvp	scen		Ты в лонге от ретеста. Цена топчется у входа четвёртый час. Стоп близко, эго — ближе.		ok	
scen.mvp-002.goal	mvp	scen		Позиция открыта. Реши: план жив — или ты уже усредняешь надежду?		ok	
scen.mvp-002.fact	mvp	scen		Уровень удержали ещё 2 часа, затем — импульсный слив к стопам. План требовал выхода раньше.		ok	
scen.mvp-002.source	mvp	scen		Архив · perp · 5m · датасет v0.1.0		ok	
scen.mvp-002.d0	mvp	scen		Держать по плану		ok	REVIEW: прототип 4.9 — другая формулировка
scen.mvp-002.d0r	mvp	scen		Дисциплина: условия отмены не сработали — система важнее страха.		ok	
scen.mvp-002.d1	mvp	scen		Сократить половину		ok	REVIEW: прототип 4.9 — другая формулировка
scen.mvp-002.d1r	mvp	scen		Сначала риск: фиксация части снимает давление и сохраняет голову.		ok	
scen.mvp-002.d2	mvp	scen		Усреднить вход		ok	REVIEW: прототип 4.9 — другая формулировка
scen.mvp-002.d2r	mvp	scen		Усреднение ошибки без плана: надежда — самая дорогая валюта.		ok	
scen.mvp-002.d3	mvp	scen		Выйти полностью		ok	REVIEW: прототип 4.9 — другая формулировка
scen.mvp-002.d3r	mvp	scen		Панический выход до отмены идеи: страх тоже умеет маскироваться под риск.		ok	
scen.mvp-002.tab.chart	mvp	scen		Консолидация у точки входа. Структура пока цела, но импульс покупателя угас.		ok	
scen.mvp-002.tab.position	mvp	scen		Позиция: лонг от ретеста, +0.4%. Стоп — за локальным минимумом, риск 1%.		ok	
scen.mvp-002.tab.social	mvp	scen		Толпа требует «держать до луны». Стадо редко платит за твои стопы.		ok	
skill.risk-first.title	mvp	skill		Сначала риск, потом вход		ok	
skill.risk-first.body	mvp	skill		Определи, сколько готов потерять, до того как мечтаешь о прибыли.		ok	REVIEW: прототип 4.6 — «Сначала определи, сколько готов потерять и при каком условии идея отменяется. Только потом смотри на возможность.»
skill.no-confirm.title	mvp	skill		Нет подтверждения — нет сделки		ok	
skill.no-confirm.body	mvp	skill		Пробой без объёма и ретеста — это фанфары, а не сигнал.		ok	REVIEW: прототип 7.2 — «Гипотеза без доказательства стоит ровно столько, сколько ты за неё заплатишь.»
skill.htf.title	mvp	skill		Проверь старший таймфрейм		ok	REVIEW: прототип 6.2/8.2 — «ПРОВЕРЬ СТАРШИЙ TF»
skill.htf.body	mvp	skill		Младший ТФ врёт убедительно. Старший — реже и дороже.		ok	
skill.news-noise.title	mvp	skill		Новость — не сигнал		ok	
skill.news-noise.body	mvp	skill		Заголовок продаёт эмоции. Сигнал продаёт только цена с объёмом.		ok	
skill.no-average.title	mvp	skill		Не усредняй ошибку		ok	
skill.no-average.body	mvp	skill		Доливка к убытку без плана превращает ошибку в образ жизни.		ok	
skill.flat-ok.title	mvp	skill		Вне рынка — тоже решение		ok	
skill.flat-ok.body	mvp	skill		Пропуск сделки стоит ноль. Плохая сделка — всегда дороже.		ok	
skill.invalidate.title	mvp	skill		Отмена идеи — заранее		ok	REVIEW: прототип 7.1 — «УСЛОВИЯ ОТМЕНЫ ИДЕИ»
skill.invalidate.body	mvp	skill		Условие «я был неправ» пишется до входа, а не придумывается в просадке.		ok	
skill.plan-profit.title	mvp	skill		Прибыль не оправдывает нарушение		ok	REVIEW: прототип 7.1 — «ПРИБЫЛЬ НЕ ОПРАВДЫВАЕТ НАРУШЕНИЕ ПЛАНА»
skill.plan-profit.body	mvp	skill		Зелёная сделка мимо системы — всё равно красный флаг.		ok	
entity.fake-breakout-phantom.body	mvp	entity		Рисует пробой, заманивает толпу, исчезает до ретеста.		ok	REVIEW: прототип 6.2 — «Показывает тебе выход там, где его нет. Вежливо. Перед самым закрытием двери.»
entity.fake-breakout-phantom.tell	mvp	entity		Пробой уровня на затухающем объёме + эйфория в заголовках.		ok	
entity.fake-breakout-phantom.counter	mvp	entity		Жди ретест. Нет подтверждения — нет сделки.		ok	
entity.fomo-wraith.body	mvp	entity		Шепчет, что поезд уходит. Поезд обычно едет в депо.		ok	
entity.fomo-wraith.tell	mvp	entity		Зуд «войти сейчас», хотя план требовал ждать.		ok	
entity.fomo-wraith.counter	mvp	entity		Пауза 10 минут. Сигнал подождёт, призрак — нет.		ok	
entity.leverage-goblin.body	mvp	entity		Предлагает плечо как shortcut к богатству. Путь ведёт к ликвидации.		ok	
entity.leverage-goblin.tell	mvp	entity		Желание «ускориться» после серии хороших решений.		ok	
entity.leverage-goblin.counter	mvp	entity		Фиксированный риск 0.5–1%. Гоблин голодает на диете.		ok	
entity.headline-titan.body	mvp	entity		Метает заголовки-молнии. Каждая бьёт точно в дисциплину.		ok	
entity.headline-titan.tell	mvp	entity		Решение хочется принять сразу после новости.		ok	
entity.headline-titan.counter	mvp	entity		Новость — в карантин на одну сессию. Сначала график.		ok	
entity.anchor-golem.body	mvp	entity		Приковывает к старой цене. «А ведь было по…» — его заклинание.		ok	
entity.anchor-golem.tell	mvp	entity		Оценка сделки от прошлого экстремума, а не от текущего контекста.		ok	
entity.anchor-golem.counter	mvp	entity		Переоцени позицию от текущей цены, как будто входишь сейчас.		ok	
entity.revenge-wraith.body	mvp	entity		После убытка предлагает отыграться немедленно. Принимает только депозиты.		ok	
entity.revenge-wraith.tell	mvp	entity		Злость после стопа и тяга «вернуть прямо сейчас».		ok	
entity.revenge-wraith.counter	mvp	entity		Протокол «После убытка»: пауза, журнал, разбор. Потом — рынок.		ok	
protocol.risk-first.title	mvp	protocol		Сначала риск	Risk first	ok	
protocol.risk-first.rule	mvp	protocol		Оценивается управление риском: размер, стоп, отмена идеи.	Risk management is scored: size, stop, invalidation.	ok	
protocol.evidence-only.title	mvp	protocol		Только доказательства	Evidence only	ok	
protocol.evidence-only.rule	mvp	protocol		Решение должно опираться на факты вкладок, а не на шум.	The decision must rest on tab facts, not on noise.	ok	
protocol.noise-quarantine.title	mvp	protocol		Шумовой карантин	Noise quarantine	ok	
protocol.noise-quarantine.rule	mvp	protocol		Новости и соцфон игнорируются: только структура, объём и план.	News and sentiment ignored: structure, volume and plan only.	ok	
protocol.flat-ok.title	mvp	protocol		Не входить — тоже решение	Flat is a decision	ok	
protocol.flat-ok.rule	mvp	protocol		Воздержание при слабом сигнале оценивается наравне со сделкой.	Staying out on a weak signal scores on par with a trade.	ok	
protocol.save-system.title	mvp	protocol		Сохранить систему	Keep the system	ok	
protocol.save-system.rule	mvp	protocol		Оценивается верность торговому плану: без импровизаций и исключений.	Loyalty to the trading plan is scored: no improvisation, no exceptions.	ok	
protocol.after-loss.title	mvp	protocol		После убытка	After a loss	ok	
protocol.after-loss.rule	mvp	protocol		Серия после стопа: пауза, снижение риска, запрет на revenge.	A post-stop series: pause, smaller risk, no revenge.	ok	
protocol.confidence.title	mvp	protocol		Проверка уверенности	Confidence check	ok	
protocol.confidence.rule	mvp	protocol		Оценивается калибровка: уверенность должна совпадать с силой доказательств.	Calibration is scored: confidence must match the strength of evidence.	ok	
arena.mode.title	mvp	arena		ПРАКТИКА	PRACTICE	ok	
arena.mode.hero	mvp	arena		РЫНОК УЖЕ СЛУЧИЛСЯ. ОСТАЛОСЬ ТОЛЬКО ТВОЁ РЕШЕНИЕ.	THE MARKET ALREADY HAPPENED. ONLY YOUR DECISION IS LEFT.	ok	
arena.mode.formats	mvp	arena		ФОРМАТ	FORMAT	ok	
arena.mode.format.free	mvp	arena		Свободная тренировка	Free drill	ok	
arena.mode.format.freeBody	mvp	arena		1 сценарий · 60–90 сек · подбор по слабым местам	1 scenario · 60–90 sec · matched to weak spots	ok	
arena.mode.format.series	mvp	arena		Серия из 3	Series of 3	ok	
arena.mode.format.seriesBody	mvp	arena		Одна тема, растущая сложность · 8–12 мин	One topic, rising difficulty · 8–12 min	ok	
arena.mode.format.fix	mvp	arena		Исправление	Fix	ok	
arena.mode.format.fixBody	mvp	arena		Целевая работа по повторяющейся ошибке	Targeted work on a repeating mistake	ok	
arena.mode.choose	mvp	arena		Выбрать	Select	ok	
arena.mode.rule	mvp	arena		ПРАВИЛО СЕССИИ	SESSION RULE	ok	
arena.mode.ruleHint	mvp	arena		ВЛИЯЕТ НА ОЦЕНКУ	AFFECTS SCORING	ok	
arena.mode.focus	mvp	arena		ФОКУС КОНТЕНТА	CONTENT FOCUS	ok	
arena.mode.focus.all	mvp	arena		ВСЕ	ALL	ok	
arena.mode.focus.structure	mvp	arena		СТРУКТУРА	STRUCTURE	ok	
arena.mode.focus.noise	mvp	arena		ШУМ	NOISE	ok	
arena.mode.focus.risk	mvp	arena		РИСК	RISK	ok	
arena.mode.focus.psycho	mvp	arena		ПСИХО	PSYCHO	ok	
arena.mode.focus.web3	mvp	arena		WEB3	WEB3	ok	
arena.mode.start	mvp	arena		Начать →	Start →	ok	
arena.mode.hashOk	mvp	arena		ХЭШ	HASH	ok	
arena.brief.phase	mvp	arena		ФАЗА	PHASE	ok	
arena.brief.timeframe	mvp	arena		ТАЙМФРЕЙМ	TIMEFRAME	ok	
arena.brief.rule	mvp	arena		ПРАВИЛО	RULE	ok	
arena.brief.difficulty	mvp	arena		СЛОЖНОСТЬ	DIFFICULTY	ok	
arena.brief.preEntry	mvp	arena		До входа	Pre-entry	ok	
arena.brief.inPosition	mvp	arena		Внутри позиции · t₀+3	In position · t₀+3	ok	REVIEW: прототип 4.9 — «ВНУТРИ ПОЗИЦИИ · t₀+3» капсом
arena.brief.situation	mvp	arena		СИТУАЦИЯ · ИСТОРИЧЕСКАЯ	SITUATION · HISTORICAL	ok	
arena.brief.tabs	mvp	arena		ИСТОЧНИКИ В СЦЕНАРИИ	SOURCES IN SCENARIO	ok	
arena.brief.start	mvp	arena		К ЗАДАЧЕ →	TO THE TASK →	ok	REVIEW: прототип 4.2 — «К решению»
arena.pressure	mvp	arena		ДАВЛЕНИЕ	PRESSURE	ok	
arena.disclaimer	mvp	arena		НЕ ФИНРЕКОМЕНДАЦИЯ · ИСТОРИЧЕСКИЕ ДАННЫЕ · ИСХОД УЖЕ ЗАФИКСИРОВАН	NOT FINANCIAL ADVICE · HISTORICAL DATA · OUTCOME ALREADY FIXED	ok	
arena.skillsApplied	mvp	arena		ПРИМЕНЕНО	APPLIED	ok	
arena.of	mvp	arena		ИЗ	OF	ok	
arena.moreSkills	mvp	arena		ЕЩЁ КАРТЫ — В АКАДЕМИИ	MORE CARDS LIVE IN THE ACADEMY	ok	
arena.catalog.title	mvp	arena		ИСТОЧНИКИ СЦЕНАРИЯ	SCENARIO SOURCES	ok	
arena.catalog.sub	mvp	arena		Не все нужны в каждом задании. Монеты открывают доступ к данным, но не к ответу.	Not all are needed in every task. Coins unlock data access, never the answer.	ok	
arena.catalog.open	mvp	arena		открыто	open	ok	
arena.catalog.coins	mvp	arena		монет	coins	ok	
arena.catalog.level	mvp	arena		уровень	level	ok	
arena.catalog.phaseOnly	mvp	arena		только в фазе «внутри»	in-position phase only	ok	
